attachment_id,file,source_url,mime,width,height,filesize,alt,title,attached_to_post,used_by_products,date,http_status
5577,2025/06/ninesquared-polo-presser-2-man-navy-t03prmn-1.jpg,https://prosporter.com.au/wp-content/uploads/2025/06/ninesquared-polo-presser-2-man-navy-t03prmn-1.jpg,image/jpeg,1000,1000,81433,,ninesquared-polo-presser-2-man-navy-1,5434,5434,2025-10-11T12:15:40,200
4970,2025/04/IWV-White-Men-Jersey-Front.png,https://prosporter.com.au/wp-content/uploads/2025/04/IWV-White-Men-Jersey-Front.png,image/png,1151,1151,1251171,,IWV White Men Jersey Front,4935,4972,2025-04-28T02:29:10,200
4969,2025/04/IWV-White-Men-Shorts-Front-Side.png,https://prosporter.com.au/wp-content/uploads/2025/04/IWV-White-Men-Shorts-Front-Side.png,image/png,851,851,653743,,IWV White Men Shorts Front-Side,4935,4934,2025-04-28T02:26:27,200
4968,2025/04/IWV-White-Men-Shorts-Back.png,https://prosporter.com.au/wp-content/uploads/2025/04/IWV-White-Men-Shorts-Back.png,image/png,871,871,784831,,IWV White Men Shorts Back,4935,4934,2025-04-28T02:25:58,200
4967,2025/04/IWV-Black-Men-Shorts-Front-Side.png,https://prosporter.com.au/wp-content/uploads/2025/04/IWV-Black-Men-Shorts-Front-Side.png,image/png,885,885,657526,,IWV Black Men Shorts Front-Side,4935,4934,2025-04-28T02:25:32,200
4966,2025/04/IWV-Black-Men-Shorts-Front.png,https://prosporter.com.au/wp-content/uploads/2025/04/IWV-Black-Men-Shorts-Front.png,image/png,892,891,713790,,IWV Black Men Shorts Front,4935,4934,2025-04-28T02:25:04,200
4965,2025/04/IWV-White-Shorts-Men-Front.png,https://prosporter.com.au/wp-content/uploads/2025/04/IWV-White-Shorts-Men-Front.png,image/png,1373,1371,1059903,IWV White Shorts Men Front,IWV White Shorts Men Front,4934,4934,2025-04-28T02:04:56,200
4963,2025/04/IWV-White-Men-Jersey-Back.png,https://prosporter.com.au/wp-content/uploads/2025/04/IWV-White-Men-Jersey-Back.png,image/png,1659,1663,1776744,,IWV White Men Jersey Back,4934,4972,2025-04-28T02:02:21,200
4962,2025/04/IWV-Short-Back.png,https://prosporter.com.au/wp-content/uploads/2025/04/IWV-Short-Back.png,image/png,1302,1303,1071594,IWV Black Shorts Men Back,IWV Black Shorts Men Back,4934,4934,2025-04-28T02:00:35,200
4961,2025/04/IWV-Black-Men-Training-T-shirt-Front.png,https://prosporter.com.au/wp-content/uploads/2025/04/IWV-Black-Men-Training-T-shirt-Front.png,image/png,1821,1822,1664345,IWV Black Men Training T-shirt Front,IWV Black Men Training T-shirt Front,4934,5037,2025-04-28T01:59:01,200
4958,2025/04/IWV-Black-Men-Jersey-Back.png,https://prosporter.com.au/wp-content/uploads/2025/04/IWV-Black-Men-Jersey-Back.png,image/png,1681,1680,1750362,,IWV Black Men Jersey Back,4934,4972,2025-04-28T01:56:50,200
4957,2025/04/IWV-Black-Man-Training-T-shirt-Back.png,https://prosporter.com.au/wp-content/uploads/2025/04/IWV-Black-Man-Training-T-shirt-Back.png,image/png,1870,1870,1397729,IWV Black Men Training T-shirt Back,IWV Black Men Training T-shirt Back,4934,5037,2025-04-28T01:55:00,200
4956,2025/04/IWV-Black-Jersey-Men-Front.png,https://prosporter.com.au/wp-content/uploads/2025/04/IWV-Black-Jersey-Men-Front.png,image/png,1600,1605,2000291,,IWV Black Jersey Men Front,4934,4972,2025-04-28T01:54:03,200
4933,2025/04/Inner-West-Volley-Socks.png,https://prosporter.com.au/wp-content/uploads/2025/04/Inner-West-Volley-Socks.png,image/png,1003,1003,284045,Inner West Volley Socks,Inner West Volley Socks,4927,4927,2025-04-28T01:33:02,200
4887,2025/04/IWV-White-Women-Shorts-Back.png,https://prosporter.com.au/wp-content/uploads/2025/04/IWV-White-Women-Shorts-Back.png,image/png,899,898,626545,IWV White Women Shorts Back,IWV White Women Shorts Back,4851,4849,2025-04-28T00:18:29,200
4886,2025/04/IWV-White-Women-Shorts-Front-Side.png,https://prosporter.com.au/wp-content/uploads/2025/04/IWV-White-Women-Shorts-Front-Side.png,image/png,950,950,613408,IWV White Women Shorts Front-Side,IWV White Women Shorts Front-Side,4851,4849,2025-04-28T00:18:00,200
4885,2025/04/IWV-White-Women-Shorts-Front.png,https://prosporter.com.au/wp-content/uploads/2025/04/IWV-White-Women-Shorts-Front.png,image/png,950,950,701671,IWV White Women Shorts Front,IWV White Women Shorts Front,4851,4849,2025-04-28T00:17:25,200
4883,2025/04/IWV-White-Jersey-Female-Front.png,https://prosporter.com.au/wp-content/uploads/2025/04/IWV-White-Jersey-Female-Front.png,image/png,2147,2075,1936895,IWV White Jersey Female Front,IWV White Jersey Female Front,4851,,2025-04-28T00:10:49,200
4882,2025/04/IWV-White-Jersey-Female-Front-Side.png,https://prosporter.com.au/wp-content/uploads/2025/04/IWV-White-Jersey-Female-Front-Side.png,image/png,1858,2156,1739811,IWV White Jersey Female Front-Side,IWV White Jersey Female Front-Side,4861,4888,2025-04-28T00:09:08,200
4881,2025/04/IWV-White-Jersey-Female-Back.png,https://prosporter.com.au/wp-content/uploads/2025/04/IWV-White-Jersey-Female-Back.png,image/png,2131,2131,1983194,IWV White Jersey Female Back,IWV White Jersey Female Back,4850,,2025-04-28T00:07:36,200
4880,2025/04/IWV-Black-Women-Training-T-shirt-Front.png,https://prosporter.com.au/wp-content/uploads/2025/04/IWV-Black-Women-Training-T-shirt-Front.png,image/png,1852,1852,596907,IWV Black Women Training T-shirt Front,IWV Black Women Training T-shirt Front,4850,4910,2025-04-28T00:05:48,200
4879,2025/04/IWV-Black-Women-Training-T-shirt-Back.png,https://prosporter.com.au/wp-content/uploads/2025/04/IWV-Black-Women-Training-T-shirt-Back.png,image/png,1799,1799,542679,IWV Black Women Training T-shirt Back,IWV Black Women Training T-shirt Back,4850,4910,2025-04-28T00:04:49,200
4878,2025/04/IWV-Black-Women-Shorts-Front.png,https://prosporter.com.au/wp-content/uploads/2025/04/IWV-Black-Women-Shorts-Front.png,image/png,1359,1359,997254,,IWV Black Women Shorts Front,4850,4849,2025-04-28T00:02:55,200
